label,area,eccentricity,solidity,equivalent_diameter,mean_intensity,perimeter
13,177.0,0.9880326969989427,0.5959595959595959,15.012108426804138,0.8545861,94.59188309203678
14,74.0,0.9985285146875487,0.8131868131868132,9.706684619910241,0.8325407,71.62132034355965
15,537.0,0.8597375119997448,0.7306122448979592,26.148224328293928,0.8599567,118.32590180780453
16,69.0,0.9982681022000562,0.8117647058823529,9.373021315815206,0.8392201,66.41421356237309
17,30.0,0.9898219451991798,0.8333333333333334,6.180387232371033,0.94194126,27.621320343559642
18,221.0,0.6641680737734523,0.8911290322580645,16.774562271083887,0.73421764,59.48528137423857
19,33.0,0.9925330123511656,0.8461538461538461,6.4820448144285745,0.99836016,30.82842712474619
20,18.0,0.9982816351111093,0.6923076923076923,4.787307364817192,0.93270546,16.0
21,249.0,0.9993343960292052,0.8615916955017301,17.805522925178455,0.9247853,169.0710678118655
22,26.0,0.9859804644253694,0.8125,5.753627391751592,0.7930194,23.621320343559642
23,3844.0,0.9174471826020979,0.8752276867030966,69.95950835992178,0.9262026,288.5512985522207
24,29.0,0.9902751308747043,0.8285714285714286,6.076507779746499,0.7615361,26.82842712474619
25,173.0,0.9986514576403996,0.865,14.841510746523857,0.8886123,117.86396103067892
26,173.0,0.998668261477731,0.865,14.841510746523857,0.87773424,117.86396103067892
27,230.0,0.9976300974540848,0.8914728682170543,17.112717355495807,0.8504555,120.69238815542512
28,173.0,0.9986774814087848,0.8606965174129353,14.841510746523857,0.88301414,117.86396103067892
29,369.0,0.944234055554487,0.803921568627451,21.675455981530703,0.8589785,96.38477631085024
30,43.0,0.9955569007101347,0.8269230769230769,7.399277020331919,0.7717224,40.828427124746185
31,44.0,0.9957594319145581,0.8148148148148148,7.48482063701911,0.74416727,41.62132034355964
32,173.0,0.9986644734355022,0.8606965174129353,14.841510746523857,0.86135864,117.86396103067892
33,44.0,0.9956724995099537,0.8301886792452831,7.48482063701911,0.7785238,41.62132034355964
34,173.0,0.9986469238822578,0.8606965174129353,14.841510746523857,0.8696427,117.86396103067892
35,4386.0,0.7533783967581048,0.7895589558955896,74.72903480715125,0.88251483,329.07821048680194
36,254.0,0.9980466399487248,0.8912280701754386,17.983404693292407,0.9325704,132.6923881554251
37,2262.0,0.8974451227210105,0.8815276695245519,53.66626361310184,0.9056552,215.37972567696687
38,322.0,0.9970564851230601,0.9121813031161473,20.248040236149336,0.9049402,137.52081528017132
39,77.0,0.9929171330037514,0.8651685393258427,9.901487006738307,0.7701986,53.656854249492376
40,258.0,0.9981070687574006,0.8896551724137931,18.12445316531431,0.9099234,134.6923881554251
41,66.0,0.9980763251396647,0.8148148148148148,9.166995688475081,0.88921887,63.62132034355964
42,69.0,0.9913365071122473,0.8734177215189873,9.373021315815206,0.8042452,49.07106781186547
43,1137.0,0.8264125870253279,0.8841368584758943,38.0483030155601,0.84517115,153.19595949289334
44,122.0,0.9965268248951159,0.7484662576687117,12.463355264843006,0.8666019,81.6923881554251
45,1235.0,0.7621147430300791,0.8834048640915594,39.65414023463283,0.84482247,159.1543289325507
46,326.0,0.9890554221242976,0.9287749287749287,20.37341629633241,0.75449055,104.72792206135786
47,916.0,0.7135991615926004,0.8919182083739046,34.15095054280933,0.7677107,133.698484809835
48,2229.0,0.9093121581298237,0.9661898569570871,53.27336055867583,0.8567671,208.5685424949238
